"id";"name";"slug";"kanton_code";"kanton_name";"plz";"ort";"adresse";"postfach";"telefon";"fax";"email";"homepage";"online_kalender_vorhanden_ja_nein";"online_kalender_url";"zustaendige_gemeinden"
"office-de-l-etat-civil-du-val-de-ruz-cernier-ne";"Office de l'état civil du Val-de-Ruz";"office-de-l-etat-civil-du-val-de-ruz-cernier-ne";"NE";"Neuenburg";"2053";"Cernier";"Rue de l'Epervier 6";"";"";"+41 32 886 56 37";"Etat-Civil.Val-de-Ruz@ne.ch";"";"";"";"Boudevilliers (Val-de-Ruz), Cernier (Val-de-Ruz), Chézard-Saint-Martin (Val-de-Ruz), Coffrane (Val-de-Ruz), Dombresson (Val-de-Ruz), Engollon (Val-de-Ruz), Fenin-Vilars-Saules (Val-de-Ruz), Fontainemelon (Val-de-Ruz), Fontaines (Val-de-Ruz), Le Pâquier (Val-de-Ruz), Les Geneveys-sur-Coffrane (Val-de-Ruz), Les Hauts-Geneveys (Val-de-Ruz), Montmollin (Val-de-Ruz), Savagnier (Val-de-Ruz), Val-de-Ruz, Villiers (Val-de-Ruz)"
"office-de-l-etat-civil-du-val-de-travers-les-verrieres-ne";"Office de l'état civil du Val-de-Travers";"office-de-l-etat-civil-du-val-de-travers-les-verrieres-ne";"NE";"Neuenburg";"2126";"Les Verrières";"Grand-Bourgeau 61";"";"";"";"etat-civil.vdt@ne.ch";"";"";"";"Boveresse (Val-de-Travers), Buttes (Val-de-Travers), Couvet (Val-de-Travers), Fleurier (Val-de-Travers), La Côte-aux-Fées, Les Bayards (Val-de-Travers), Les Verrières, Môtiers (Val-de-Travers), Noiraigue (Val-de-Travers), Saint-Sulpice (Val-de-Travers), Travers (Val-de-Travers), Val-de-Travers"
"zivilstandsamt-nidwalden-stans-nw";"Zivilstandsamt Nidwalden";"zivilstandsamt-nidwalden-stans-nw";"NW";"Nidwalden";"6371";"Stans";"Marktgasse 3";"Postfach 1244";"";"041 618 72 54";"zivilstandsamt@nw.ch";"";"";"";"Beckenried, Buochs, Dallenwil, Emmetten, Ennetbürgen, Ennetmoos, Hergiswil, Oberdorf (NW), Stans, Stansstad, Wolfenschiessen"
"zivilstandsamt-obwalden-sarnen-ow";"Zivilstandsamt Obwalden";"zivilstandsamt-obwalden-sarnen-ow";"OW";"Obwalden";"6060";"Sarnen";"Brünigstrasse 180a";"";"";"";"zivilstandsamt@sarnen.ch";"";"";"";"Alpnach, Engelberg, Giswil, Kerns, Lungern, Sachseln, Sarnen"
"regionales-zivilstandsamt-rheintal-altstatten-sg-sg";"Regionales Zivilstandsamt Rheintal";"regionales-zivilstandsamt-rheintal-altstatten-sg-sg";"SG";"St. Gallen";"9450";"Altstätten SG";"Rathausplatz";"";"";"+41 71 757 77 39";"zivilstandsamt@altstaetten.ch";"";"";"";"Altstätten, Au, Balgach, Berneck, Diepoldsau, Diepoldsau-Schmitter, Eichberg, Marbach, Oberriet, Oberriet-Eichenwies, Oberriet-Holzrhode, Oberriet-Kriessern, Oberriet-Montlingen, Rebstein, Rüthi, Widnau"
"regionales-zivilstandsamt-st-gallen-st-gallen-sg";"Regionales Zivilstandsamt St.Gallen";"regionales-zivilstandsamt-st-gallen-st-gallen-sg";"SG";"St. Gallen";"9001";"St. Gallen";"";"";"";"+41 71 224 57 07";"za@stadt.sg.ch";"";"";"";"Degersheim, Degersheim-Dorf, Eggersriet, Eggersriet-Grub, Häggenschwil, Muolen, St. Gallen, St. Gallen-Tablat, Wittenbach"
"zivilstandsamt-gossau-gossau-sg";"Zivilstandsamt Gossau";"zivilstandsamt-gossau-gossau-sg";"SG";"St. Gallen";"9201";"Gossau";"";"";"";"+41 43 556 88 04";"zivilstandsamt@stadtgossau.ch";"";"";"";"Andwil, Gaiserwald, Gossau (SG), Niederbüren, Waldkirch, Waldkirch-Bernhardzell"
"zivilstandsamt-rapperswil-jona-jona-sg";"Zivilstandsamt Rapperswil-Jona";"zivilstandsamt-rapperswil-jona-jona-sg";"SG";"St. Gallen";"8645";"Jona";"St. Gallerstrasse 40";"Postfach 2160";"";"+41 55 225 72 41";"zivilstandsamt@rj.sg.ch";"";"";"";"Eschenbach (SG), Rapperswil-Jona"
"zivilstandsamt-rorschach-rorschach-sg";"Zivilstandsamt Rorschach";"zivilstandsamt-rorschach-rorschach-sg";"SG";"St. Gallen";"9400";"Rorschach";"Rathaus, Hauptstrasse 29";"";"";"+41 71 844 21 78";"zivilstandsamt@rorschach.ch";"";"";"";"Berg (SG), Goldach, Mörschwil, Rheineck, Rorschach, Rorschacherberg, St. Margrethen, Steinach, Thal, Thal-Altenrhein, Tübach, Untereggen"
"zivilstandsamt-sarganserland-wangs-sg";"Zivilstandsamt Sarganserland";"zivilstandsamt-sarganserland-wangs-sg";"SG";"St. Gallen";"7323";"Wangs";"Rathaus";"Dorfstrasse 34";"";"";"zivilstandsamt.sarganserland@vilters-wangs.ch";"";"";"";"Bad Ragaz, Flums, Flums-Dorf, Flums-Grossberg, Flums-Kleinberg, Mels, Mels-Weisstannen, Pfäfers, Pfäfers-Vättis, Pfäfers, Valens-Vasön, Quarten, Quarten-Mols, Quarten-Murg, Quarten-Oberterzen, Quarten-Quinten, Sargans, Vilters-Wangs, Vilters-Wangs, Vilters, Vilters-Wangs, Wangs, Walenstadt, Walenstadt-Berschis, Walenstadt-Tscherlach, Walenstadt-Walenstadtberg"
"zivilstandsamt-toggenburg-wattwil-sg";"Zivilstandsamt Toggenburg";"zivilstandsamt-toggenburg-wattwil-sg";"SG";"St. Gallen";"9630";"Wattwil";"Grüenaustrasse 7";"";"";"";"zivilstandsamt@wattwil.ch";"";"";"";"Bütschwil-Ganterschwil, Bütschwil-Ganterschwil, Bütschwil, Bütschwil-Ganterschwil, Ganterschwil, Ebnat-Kappel, Ebnat-Kappel, Kappel, Lichtensteig, Lütisburg, Mosnang, Neckertal, Neckertal-Brunnadern, Neckertal-St. Peterzell, Nesslau, Nesslau-Ennetbühl, Nesslau-Krummenau, Nesslau-Stein, Wattwil, Wildhaus-Alt St. Johann, Wildhaus-Alt St. Johann, Alt St. Johann, Wildhaus-Alt St. Johann, Wildhaus"
"zivilstandsamt-uznach-uznach-sg";"Zivilstandsamt Uznach";"zivilstandsamt-uznach-uznach-sg";"SG";"St. Gallen";"8730";"Uznach";"Obergasse 24";"";"";"+41 55 280 23 11";"zivilstandsamt@uznach.ch";"";"";"";"Amden, Benken (SG), Gommiswald, Gommiswald-Dorf, Gommiswald-Rieden, Kaltbrunn, Schänis, Schänis-Dorf, Schänis-Maseltrangen, Schänis-Rufi, Schänis-Rüttiberg, Schmerikon, Uznach, Weesen"
"zivilstandsamt-uzwil-uzwil-sg";"Zivilstandsamt Uzwil";"zivilstandsamt-uzwil-uzwil-sg";"SG";"St. Gallen";"9240";"Uzwil";"Stickereiplatz 1";"";"";"";"zivilstandsamt@uzwil.ch";"";"";"";"Flawil, Jonschwil, Oberbüren, Oberuzwil, Uzwil"
"zivilstandsamt-werdenberg-buchs-sg-1-sg";"Zivilstandsamt Werdenberg";"zivilstandsamt-werdenberg-buchs-sg-1-sg";"SG";"St. Gallen";"9471";"Buchs SG 1";"St.Gallerstrasse 2";"";"";"+41 81 755 75 31";"zivilstandsamt@buchs-sg.ch";"";"";"";"Buchs (SG), Gams, Grabs, Sennwald, Sennwald-Frümsen, Sennwald-Haag, Sennwald-Salez, Sennwald-Sax, Sevelen, Wartau"
"zivilstandsamt-wil-wil-sg";"Zivilstandsamt Wil";"zivilstandsamt-wil-wil-sg";"SG";"St. Gallen";"9500";"Wil";"Rathaus, Marktgasse 58";"";"";"";"zivilstandsamt@stadtwil.ch";"";"";"";"Kirchberg (SG), Niederhelfenschwil, Wil (SG), Zuzwil (SG)"
"zivilstandsamt-schaffhausen-schaffhausen-sh";"Zivilstandsamt Schaffhausen";"zivilstandsamt-schaffhausen-schaffhausen-sh";"SH";"Schaffhausen";"8200";"Schaffhausen";"Safrangasse 8";"";"";"+41 52 632 52 95";"za@stsh.ch";"";"";"";"Bargen (SH), Beggingen, Beringen, Buch, Buchberg, Büttenhardt, Dörflingen, Gächlingen, Hallau, Hemishofen, Lohn (SH), Löhningen, Merishausen, Neuhausen am Rheinfall, Neunkirch, Oberhallau, Ramsen, Rüdlingen, Schaffhausen, Schleitheim, Siblingen, Stein am Rhein, Stetten (SH), Thayngen, Trasadingen, Wilchingen"
"zivilstandsamt-kreis-dorneck-thierstein-dornach-so";"Zivilstandsamt Kreis Dorneck-Thierstein";"zivilstandsamt-kreis-dorneck-thierstein-dornach-so";"SO";"Solothurn";"4143";"Dornach";"Amthausstrasse 7";"";"";"";"za.dt@vd.so.ch";"";"";"";"Bärschwil, Bättwil, Beinwil, Breitenbach, Büren, Büsserach, Dornach, Erschwil, Fehren, Gempen, Grindel, Himmelried, Hochwald, Hofstetten-Flüh, Kleinlützel, Meltingen, Metzerlen-Mariastein, Nuglar-St. Pantaleon, Nunningen, Rodersdorf, Seewen, Witterswil, Zullwil"
"zivilstandsamt-kreis-olten-gosgen-olten-so";"Zivilstandsamt Kreis Olten-Gösgen";"zivilstandsamt-kreis-olten-gosgen-olten-so";"SO";"Solothurn";"4603";"Olten";"Hauptgasse 25";"";"";"";"za.og@vd.so.ch";"";"";"";"Boningen, Däniken, Dulliken, Eppenberg-Wöschnau, Erlinsbach (SO), Fulenbach, Gretzenbach, Gunzgen, Hägendorf, Hauenstein-Ifenthal, Kappel, Kienberg, Lostorf, Niedergösgen, Obererlinsbach, Obergösgen, Olten, Rickenbach (SO), Schönenwerd, Starrkirch-Wil, Stüsslingen, Trimbach, Walterswil (SO), Wangen bei Olten, Winznau, Wisen"
"zivilstandsamt-kreis-thal-gau-klus-balsthal-so";"Zivilstandsamt Kreis Thal-Gäu";"zivilstandsamt-kreis-thal-gau-klus-balsthal-so";"SO";"Solothurn";"4710";"Klus-Balsthal";"Schmelzihof, Wengimattstrasse 2";"";"";"";"za.tg@vd.so.ch";"";"";"";"Aedermannsdorf, Balsthal, Egerkingen, Härkingen, Herbetswil, Holderbank (SO), Kestenholz, Laupersdorf, Matzendorf, Mümliswil-Ramiswil, Neuendorf, Niederbuchsiten, Oberbuchsiten, Oensingen, Welschenrohr, Welschenrohr-Gänsbrunnen, Wolfwil"
"zivilstandsamt-solothurn-solothurn-so";"Zivilstandsamt Solothurn";"zivilstandsamt-solothurn-solothurn-so";"SO";"Solothurn";"4502";"Solothurn";"Patriotenweg 9";"Postfach 157";"";"";"za.so@vd.so.ch";"";"";"";"Aeschi, Aetigkofen, Aetingen, Alt Messen, Ammannsegg, Balm bei Günsberg, Balm bei Messen, Bellach, Bettlach, Biberist, Bibern, Biezwil, Bolken, Brügglen, Brunnenthal, Buchegg, Deitingen, Derendingen, Drei Höfe, Etziken, Feldbrunnen-St. Niklaus, Flumenthal, Gerlafingen, Gossliwil, Grenchen, Günsberg, Halten, Hessigkofen, Horriwil, Hubersdorf, Hüniken, Kammersrohr, Kriegstetten, Küttigkofen, Langendorf, Lohn (SO), Lohn-Ammannsegg, Lommiswil, Lüsslingen, Lüsslingen-Nennigkofen, Luterbach, Lüterkofen-Ichertswil, Lüterswil-Gächliwil, Messen, Mühledorf, Nennigkofen, Niederwil (SO), Oberdorf (SO), Obergerlafingen, Oekingen, Recherswil, Riedholz, Rüttenen, Schnottwil, Selzach, Solothurn, Subingen, Tscheppach, Unterramsern, Winistorf, Zuchwil"
"zivilstandsamt-ausserschwyz-pfaffikon-sz";"Zivilstandsamt Ausserschwyz";"zivilstandsamt-ausserschwyz-pfaffikon-sz";"SZ";"Schwyz";"8808";"Pfäffikon";"Unterdorfstrasse 9";"Postfach 140";"";"";"zivilstandsamt@freienbach.ch";"";"";"";"Altendorf, Einsiedeln, Feusisberg, Freienbach, Galgenen, Innerthal, Lachen, Reichenburg, Schübelbach, Tuggen, Vorderthal, Wangen, Wollerau"
"zivilstandsamt-innerschwyz-schwyz-sz";"Zivilstandsamt Innerschwyz";"zivilstandsamt-innerschwyz-schwyz-sz";"SZ";"Schwyz";"6431";"Schwyz";"Herrengasse 17";"Postfach 253";"";"+41 41 819 07 06";"zivilstandsamt@gemeindeschwyz.ch";"";"";"";"Alpthal, Arth, Gersau, Illgau, Ingenbohl, Küssnacht, Lauerz, Morschach, Muotathal, Oberiberg, Riemenstalden, Rothenthurm, Sattel, Schwyz, Steinen, Steinerberg, Unteriberg"
"zivilstandsamt-thurgau-ost-amriswil-tg";"Zivilstandsamt Thurgau Ost";"zivilstandsamt-thurgau-ost-amriswil-tg";"TG";"Thurgau";"8580";"Amriswil";"Zielweg 1";"";"";"";"zivilstandsamt.ost@tg.ch";"";"";"";"Affeltrangen, Altnau, Amlikon-Bissegg, Amriswil, Arbon, Berg (TG), Birwinken, Bischofszell, Bottighofen, Bürglen (TG), Bussnang, Dozwil, Egnach, Erlen, Ermatingen, Gottlieben, Güttingen, Hauptwil-Gottshaus, Hefenhofen, Hohentannen, Horn, Kemmental, Kesswil, Kradolf-Schönenberg, Kreuzlingen, Langrickenbach, Lengwil, Märstetten, Münsterlingen, Raperswilen, Roggwil (TG), Romanshorn, Salenstein, Salmsach, Schönholzerswilen, Sommeri, Sulgen, Tägerwilen, Uttwil, Wäldi, Weinfelden, Wigoltingen, Wuppenau, Zihlschlacht-Sitterdorf"
"zivilstandsamt-thurgau-west-frauenfeld-tg";"Zivilstandsamt Thurgau West";"zivilstandsamt-thurgau-west-frauenfeld-tg";"TG";"Thurgau";"8510";"Frauenfeld";"Bankplatz 1";"";"";"";"zivilstandsamt.west@tg.ch";"";"";"";"Aadorf, Basadingen-Schlattingen, Berlingen, Bettwiesen, Bichelsee-Balterswil, Braunau, Diessenhofen, Eschenz, Eschlikon, Felben-Wellhausen, Fischingen, Frauenfeld, Gachnang, Herdern, Homburg, Hüttlingen, Hüttwilen, Lommis, Mammern, Matzingen, Müllheim, Münchwilen (TG), Neunforn, Pfyn, Rickenbach (TG), Schlatt (TG), Sirnach, Steckborn, Stettfurt, Thundorf, Tobel-Tägerschen, Uesslingen-Buch, Wagenhausen, Wängi, Warth-Weiningen, Wilen"
"servizio-circondariale-dello-stato-civile-di-bellinzona-bellinzona-ti";"Servizio circondariale dello stato civile di Bellinzona";"servizio-circondariale-dello-stato-civile-di-bellinzona-bellinzona-ti";"TI";"Tessin";"6500";"Bellinzona";"Via Lugano 4";"";"";"";"di-scsc.bellinzona@ti.ch";"";"";"";"Acquarossa, Airolo, Arbedo-Castione, Bedretto, Bellinzona, Biasca, Blenio, Cadenazzo, Dalpe, Faido, Giornico, Isone, Lumino, Personico, Pollegio, Quinto, Riviera, Sant'Antonino, Serravalle"
"servizio-circondariale-dello-stato-civile-di-locarno-locarno-ti";"Servizio circondariale dello stato civile di Locarno";"servizio-circondariale-dello-stato-civile-di-locarno-locarno-ti";"TI";"Tessin";"6600";"Locarno";"Via della Posta 9";"";"";"";"di-scsc.locarno@ti.ch";"";"";"";"Ascona, Avegno Gordevio, Bosco/Gurin, Brione sopra Minusio, Brissago, Campo Vallemaggia, Centovalli, Cerentino, Cevio, Cugnasco-Gerra, Gambarogno, Gordola, Lavertezzo, Lavizzara, Linescio, Locarno, Losone, Maggia, Mergoscia, Minusio, Muralto, Onsernone, Orselina, Ronco sopra Ascona, Tenero-Contra, Terre di Pedemonte, Verzasca"
"servizio-circondariale-dello-stato-civile-di-lugano-breganzona-ti";"Servizio circondariale dello stato civile di Lugano";"servizio-circondariale-dello-stato-civile-di-lugano-breganzona-ti";"TI";"Tessin";"6932";"Breganzona";"Via Dottor Giovanni Polar 46";"";"";"";"di-scsc.lugano@ti.ch";"";"";"";"Agno, Alto Malcantone, Aranno, Arogno, Bedano, Bioggio, Bissone, Brusino Arsizio, Cademario, Cadempino, Canobbio, Capriasca, Caslano, Collina d'Oro, Comano, Cureglia, Grancia, Gravesano, Lamone, Lema, Lugano, Magliaso, Manno, Massagno, Melide, Mezzovico-Vira, Monteceneri, Morcote, Muzzano, Neggio, Origlio, Paradiso, Ponte Capriasca, Porza, Pura, Savosa, Sorengo, Torricella-Taverne, Tresa, Val Mara, Vernate, Vezia, Vico Morcote"
"servizio-circondariale-dello-stato-civile-di-mendrisio-mendrisio-ti";"Servizio circondariale dello stato civile di Mendrisio";"servizio-circondariale-dello-stato-civile-di-mendrisio-mendrisio-ti";"TI";"Tessin";"6850";"Mendrisio";"Via Municipio 13";"";"";"";"di-scsc.mendrisio@ti.ch";"";"";"";"Balerna, Breggia, Castel San Pietro, Chiasso, Coldrerio, Mendrisio, Morbio Inferiore, Novazzano, Riva San Vitale, Stabio, Vacallo"
"zivilstandsamt-uri-altdorf-ur";"Zivilstandsamt Uri";"zivilstandsamt-uri-altdorf-ur";"UR";"Uri";"6460";"Altdorf";"Marktgasse 6";"Postfach 126";"";"";"zivilstandsamt@ur.ch";"";"";"";"Altdorf, Andermatt, Attinghausen, Bürglen (UR), Erstfeld, Flüelen, Göschenen, Gurtnellen, Hospental, Isenthal, Realp, Schattdorf, Seedorf (UR), Seelisberg, Silenen, Sisikon, Spiringen, Unterschächen, Wassen"
"office-de-l-etat-civil-du-canton-de-vaud-lausanne-vd";"Office de l'état civil du Canton de Vaud";"office-de-l-etat-civil-du-canton-de-vaud-lausanne-vd";"VD";"Waadt";"1014";"Lausanne";"Avenue de Sévelin 46";"";"";"";"etat.civil@vd.ch";"";"";"";"Aclens, Agiez, Aigle, Allaman, Arnex-sur-Nyon, Arnex-sur-Orbe, Arzier-Le Muids, Assens, Assens (Bioley-Orjulaz), Assens (Malapalud), Aubonne, Aubonne (Montherod), Aubonne (Pizy), Avenches, Avenches (Donatyre), Avenches (Oleyres), Ballaigues, Ballens, Bassins, Baulmes, Bavois, Begnins, Belmont-sur-Lausanne, Belmont-sur-Yverdon, Bercher, Berolle, Bettens, Bex, Bière, Bioley-Magnoux, Blonay - Saint-Légier, Blonay-Saint-Légier (Blonay), Blonay-Saint-Légier (Saint-Légier-La Chiésaz), Bofflens, Bogis-Bossey, Bonvillars, Borex, Bottens, Bougy-Villars, Boulens, Bourg-en-Lavaux, Bourg-en-Lavaux (Cully), Bourg-en-Lavaux (Epesses), Bourg-en-Lavaux (Grandvaux), Bourg-en-Lavaux (Riex), Bourg-en-Lavaux (Villette), Bournens, Boussens, Bremblens, Bretigny-sur-Morrens, Bretonnières, Buchillon, Bullet, Bursinel, Bursins, Burtigny, Bussigny, Bussy-sur-Moudon, Chamblon, Champagne, Champtauroz, Champvent, Champvent (Essert-sous-Champvent), Champvent (Villars-sous-Champvent), Chardonne, Château-d'Oex, Chavannes-de-Bogis, Chavannes-des-Bois, Chavannes-le-Chêne, Chavannes-le-Veyron, Chavannes-près-Renens, Chavannes-sur-Moudon, Chavornay, Chavornay (Corcelles-sur-Chavornay), Chavornay (Essert-Pittet), Chêne-Pâquier, Cheseaux-Noréaz, Cheseaux-sur-Lausanne, Chéserex, Chessel, Chevilly, Chevroux, Chexbres, Chigny, Clarmont, Coinsins, Commugny, Concise, Coppet, Corbeyrier, Corcelles-le-Jorat, Corcelles-près-Concise, Corcelles-près-Payerne, Corseaux, Corsier-sur-Vevey, Cossonay, Crans, Crassier, Crissier, Cronay, Croy, Cuarnens, Cuarny, Cudrefin, Cudrefin (Champmartin), Cugy (VD), Curtilles, Daillens, Démoret, Denens, Denges, Dizy, Dompierre, Donneloye, Donneloye (Gossens), Donneloye (Mézery-près-Donneloye), Donneloye (Prahins), Duillier, Dully, Echallens, Echandens, Echichens, Echichens (Colombier), Echichens (Monnaz), Echichens (Saint-Saphorin-sur-Morges), Eclépens, Ecublens, Epalinges, Ependes, Essertines-sur-Rolle, Essertines-sur-Yverdon, Etagnières, Etoy, Eysins, Faoug, Féchy, Ferreyres, Fey, Fiez, Fontaines-sur-Grandson, Forel (Lavaux), Founex, Froideville, Genolier, Giez, Gilly, Gimel, Gingins, Givrins, Gland, Gollion, Goumoëns, Goumoëns (Eclagnens), Goumoëns (Goumoens-la-Ville), Goumoëns (Goumoens-le-Jux), Grancy, Grandcour, Grandevent, Grandson, Grens, Gryon, Hautemorges, Hautemorges (Apples), Hautemorges (Bussy-Chardonney, Bussy-sur-Morges), Hautemorges (Bussy-Chardonney, Chardonney-sur-Morges), Hautemorges (Bussy-Chardonney), Hautemorges (Cottens), Hautemorges (Pampigny), Hautemorges (Reverolle), Hautemorges (Sévery), Henniez, Hermenches, Jongny, Jorat-Menthue, Jorat-Menthue (Montaubion-Chardonney), Jorat-Menthue (Peney-le-Jorat), Jorat-Menthue (Sottens), Jorat-Menthue (Villars-Mendraz), Jorat-Menthue (Villars-Tiercelin), Jorat-Mézières, Jorat-Mézières (Carrouge), Jorat-Mézières (Ferlens), Jorat-Mézières (Mézières), Jouxtens-Mézery, Juriens, L'Abbaye, L'Abergement, L'Isle, La Chaux (Cossonay), La Praz, La Rippe, La Sarraz, La Tour-de-Peilz, Lausanne, Lavey-Morcles, Lavigny, Le Chenit, Le Lieu, Le Mont-sur-Lausanne, Le Vaud, Les Clées, Leysin, Lignerolle, Lonay, Longirod, Lovatens, Lucens, Lucens (Brenles), Lucens (Chesalles-sur-Moudon), Lucens (Cremin), Lucens (Forel-sur-Lucens), Lucens (Oulens-sur-Lucens), Lucens (Sarzens), Luins, Lully (VD), Lussery-Villars, Lussery-Villars (Lussery), Lussery-Villars (Villars-Lussery), Lussy-sur-Morges, Lutry, Maracon, Maracon (La Rogivue), Marchissy, Mathod, Mauborget, Mauraz, Mex, Mies, Missy, Moiry, Mollens, Molondin, Mont-la-Ville, Mont-sur-Rolle, Montagny-près-Yverdon, Montanaire, Montanaire (Chanéaz), Montanaire (Chapelle-sur-Moudon), Montanaire (Correvon), Montanaire (Denezy), Montanaire (Martherenges), Montanaire (Neyruz-sur-Moudon), Montanaire (Peyres-Possens), Montanaire (Saint-Cierges), Montanaire (Thierrens), Montcherand, Montilliez, Montilliez (Dommartin), Montilliez (Naz), Montilliez (Poliez-le-Grand), Montilliez (Sugnens), Montpreveyres, Montreux, Montreux (Montreux-Châtelard), Montreux (Montreux-Planches), Montricher, Morges, Morrens, Moudon, Mutrux, Novalles, Noville, Nyon, Ogens, Ollon, Onnens, Oppens, Orbe, Orges, Ormont-Dessous, Ormont-Dessus, Orny, Oron, Oron (Bussigny-sur-Oron), Oron (Châtillens), Oron (Chesalles-sur-Oron), Oron (Ecoteaux), Oron (Essertes), Oron (Les Tavernes), Oron (Les Thioleyres), Oron (Oron-la-Ville), Oron (Oron-le-Châtel), Oron (Palézieux), Oron (Vuibroye), Orzens, Oulens-sous-Echallens, Pailly, Paudex, Payerne, Penthalaz, Penthaz, Penthéréaz, Perroy, Poliez-Pittet, Pompaples, Pomy, Prangins, Premier, Préverenges, Prévonloup, Prilly, Provence, Puidoux, Pully, Rances, Renens, Rennaz, Rivaz, Roche, Rolle, Romainmôtier-Envy, Romainmôtier-Envy (Envy), Romainmôtier-Envy (Romainmôtier), Romanel-sur-Lausanne, Romanel-sur-Morges, Ropraz, Rossenges, Rossinière, Rougemont, Rovray, Rovray (Arrissoules), Rueyres, Saint-Barthélemy, Saint-Cergue, Saint-George, Saint-Livres, Saint-Oyens, Saint-Prex, Saint-Saphorin (Lavaux), Saint-Sulpice, Sainte-Croix, Saubraz, Savigny, Senarclens, Sergey, Servion, Servion (Les Cullayes), Signy-Avenex, Suchy, Sullens, Suscévaz, Syens, Tannay, Tartegnin, Tévenon, Tévenon (Fontanezier), Tévenon (Romairon), Tévenon (Vaugondry), Tévenon (Villars-Burquin), Tolochenaz, Trélex, Trey, Treycovagnes, Treytorrens (Payerne), Ursins, Valbroye, Valbroye (Cerniaz), Valbroye (Combremont-le-Grand), Valbroye (Combremont-le-Petit), Valbroye (Granges-près-Marnand), Valbroye (Marnand), Valbroye (Sassel), Valbroye (Seigneux), Valbroye (Villars-Bramard), Valeyres-sous-Montagny, Valeyres-sous-Rances, Valeyres-sous-Ursins, Vallorbe, Vaulion, Vaux-sur-Morges, Vevey, Veytaux, Vich, Villars-Epeney, Villars-le-Comte, Villars-le-Terroir, Villars-sous-Yens, Villars-Ste-Croix, Villarzel, Villarzel (Rossens), Villarzel (Sédeilles), Villeneuve, Vinzel, Vuarrens, Vucherens, Vufflens-la-Ville, Vufflens-le-Château, Vugelles-La Mothe, Vuiteboeuf, Vulliens, Vullierens, Vully-les-Lacs, Vully-les-Lacs (Bellerive), Vully-les-Lacs (Chabrey), Vully-les-Lacs (Constantine), Vully-les-Lacs (Montmagny), Vully-les-Lacs (Mur), Vully-les-Lacs (Vallamand), Vully-les-Lacs (Villars-le-Grand), Yens, Yverdon-les-Bains, Yverdon-les-Bains (Gressy), Yvonand, Yvorne"
"arrondissement-de-l-etat-civil-de-martigny-martigny-vs";"Arrondissement de l'état civil de Martigny";"arrondissement-de-l-etat-civil-de-martigny-martigny-vs";"VS";"Wallis";"1920";"Martigny";"Avenue du Léman 29";"Case postale 406";"";"";"etatcivil-martigny@admin.vs.ch";"";"";"";"Bourg-St-Pierre, Bovernier, Collonges, Dorénaz, Evionnaz, Finhaut, Fully, Isérables, Leytron, Liddes, Martigny, Martigny-Combe, Orsières, Riddes, Saillon, Salvan, Saxon, Sembrancher, Trient, Val de Bagnes, Vernayaz"
"arrondissement-de-l-etat-civil-de-sierre-sierre-vs";"Arrondissement de l'état civil de Sierre";"arrondissement-de-l-etat-civil-de-sierre-sierre-vs";"VS";"Wallis";"3960";"Sierre";"av. de France 21";"Case postale 668";"";"";"etatcivil-sierre@admin.vs.ch";"";"";"";"Anniviers, Chalais, Chippis, Crans-Montana, Grône, Icogne, Lens, Noble-Contrée, Sierre"
"arrondissement-de-l-etat-civil-de-sion-sion-vs";"Arrondissement de l'état civil de Sion";"arrondissement-de-l-etat-civil-de-sion-sion-vs";"VS";"Wallis";"1950";"Sion";"rue de Conthey 21";"Case postale 478";"";"";"etatcivil-sion@admin.vs.ch";"";"";"";"Arbaz, Ardon, Ayent, Chamoson, Conthey, Evolène, Grimisuat, Hérémence, Mont-Noble, Nendaz, Saint-Léonard, Saint-Martin (VS), Savièse, Sion, Vétroz, Vex, Veysonnaz"
"office-de-l-etat-civil-de-monthey-monthey-vs";"Office de l'état civil de Monthey";"office-de-l-etat-civil-de-monthey-monthey-vs";"VS";"Wallis";"1870";"Monthey";"Avenue du Simplon 32 A";"Case postale 1368";"";"";"etatcivil-monthey@admin.vs.ch";"";"";"";"Champéry, Collombey-Muraz, Massongex, Monthey, Port-Valais, Saint-Gingolph, Saint-Maurice, Troistorrents, Val-d'Illiez, Vérossaz, Vionnaz, Vouvry"
"zivilstandsamt-brig-glis-brig-glis-vs";"Zivilstandsamt Brig-Glis";"zivilstandsamt-brig-glis-brig-glis-vs";"VS";"Wallis";"3900";"Brig-Glis";"Alte Simplonstrasse 26";"Postfach";"";"";"zivilstand-brig-glis@admin.vs.ch";"";"";"";"Bellwald, Bettmeralp, Binn, Bister, Bitsch, Brig-Glis, Ernen, Fiesch, Fieschertal, Goms, Grengiols, Lax, Mörel-Filet, Naters, Obergoms, Ried-Brig, Riederalp, Simplon, Termen, Zwischbergen"
